;c;u;CDLP
0;[12 20 16];[1 5 5 1];({0: ((0, 0, 0, 1, 0, 0), 89.8250162022035), 1: ((0, 1, 0, 0, 0, 0), 47.64460897732531), 2: ((0, 0, 0, 0, 0, 1), 132.41379310344826)}, 39200.0, array([ 800., 1000.,  600.]), 0.0)
1;[12 20 16];[ 1 10  5  1];({0: ((0, 0, 0, 1, 0, 0), 89.8250162022035), 1: ((0, 1, 0, 0, 0, 0), 47.64460897732531), 2: ((0, 0, 0, 0, 0, 1), 132.41379310344826)}, 39200.0, array([ 800., 1000.,  600.]), 0.0)
2;[12 20 16];[ 5 20 10  5];({2: ((0, 0, 0, 0, 0, 1), 117.75769950971309), 3: ((0, 1, 0, 1, 1, 1), 72.32088295091086), 4: ((0, 1, 0, 1, 0, 1), 38.36104146229703), 5: ((0, 0, 0, 1, 0, 1), 71.56037607707904)}, 37571.111190151794, array([751.07856089, 946.65866117, 285.77417541]), 16.842028098050694)
3;[18 30 24];[1 5 5 1];({2: ((0, 0, 0, 0, 0, 1), 92.4401476107613), 3: ((0, 1, 0, 1, 1, 1), 48.76765228026058), 4: ((0, 1, 0, 1, 0, 1), 81.56900729080229), 5: ((0, 0, 0, 1, 0, 1), 77.22319281817585)}, 56884.12794613262, array([689.53422149, 870.31514958, 276.48510432]), 39.09138322797857)
4;[18 30 24];[ 1 10  5  1];({2: ((0, 0, 0, 0, 0, 1), 91.50247448122977), 3: ((0, 1, 0, 1, 1, 1), 61.410403334761305), 4: ((0, 1, 0, 1, 0, 1), 70.15160839095671), 5: ((0, 0, 0, 1, 0, 1), 76.93551379305222)}, 56848.02646543081, array([687.45267425, 867.87145031, 270.38899433]), 39.82799651818421)
5;[18 30 24];[ 5 20 10  5];({3: ((0, 0, 0, 0, 0, 1), 19.819989793229965), 4: ((0, 0, 0, 1, 1, 1), 43.52872132476436), 7: ((0, 1, 0, 1, 1, 1), 170.86230876216968), 8: ((0, 0, 0, 1, 0, 1), 65.788980119836)}, 53819.90832205126, array([752.61575965, 946.16133901, 282.84452519]), 16.999052911395815)
6;[24 40 32];[1 5 5 1];({2: ((0, 0, 0, 0, 0, 1), 15.873531732705771), 3: ((0, 1, 0, 1, 1, 1), 164.52887549944444), 5: ((0, 0, 0, 1, 0, 1), 100.70006642299234), 7: ((0, 1, 0, 1, 0, 1), 18.897526344857457)}, 71936.36560537897, array([689.53422149, 870.31514958, 276.48510432]), 39.09138322797857)
7;[24 40 32];[ 1 10  5  1];({2: ((0, 0, 0, 0, 0, 1), 12.256955656638635), 3: ((0, 1, 0, 1, 1, 1), 185.45454545454544), 4: ((0, 0, 0, 1, 1, 1), 18.83791741110746), 5: ((0, 0, 0, 1, 0, 1), 83.45058147770847)}, 71794.8208916326, array([691.25772721, 864.09330497, 260.96394358]), 40.966856817658325)
8;[24 40 32];[ 5 20 10  5];({3: ((0, 0, 1, 1, 1, 1), 42.23802581646345), 4: ((0, 1, 1, 1, 1, 1), 220.65374103751958), 7: ((0, 1, 0, 1, 1, 1), 37.108233146016964)}, 61868.20259196188, array([434.43870074, 209.03959125,   0.        ]), 143.60030041404525)
9;[30 50 40];[1 5 5 1];({2: ((0, 1, 0, 1, 1, 0), 132.62758788086342), 3: ((0, 0, 1, 1, 1, 0), 67.29010507773111), 4: ((0, 1, 1, 1, 1, 0), 100.08230704140547)}, 79155.65329867168, array([213.11240936,  40.99493041,   0.        ]), 235.70844832451303)
10;[30 50 40];[ 1 10  5  1];({2: ((0, 1, 0, 1, 1, 0), 121.48555824930713), 3: ((0, 0, 1, 1, 1, 0), 65.0222591676061), 4: ((0, 1, 1, 1, 1, 0), 113.49218258308677)}, 76866.20277472361, array([208.46031098,  34.40413444,   0.        ]), 229.64062241143662)
11;[30 50 40];[ 5 20 10  5];({1: ((1, 1, 1, 1, 1, 1), 42.19244483579326), 3: ((0, 1, 1, 1, 1, 1), 257.80755516420675)}, 63255.629267206656, array([6.80600642, 0.        , 0.        ]), 210.17149691496715)
12;[36 60 48];[1 5 5 1];({2: ((0, 1, 0, 1, 1, 0), 57.216622604097765), 4: ((0, 1, 1, 1, 1, 0), 242.78337739590222)}, 80371.27008633509, array([121.82129874,   0.        ,   0.        ]), 253.28567777181104)
13;[36 60 48];[ 1 10  5  1];({2: ((0, 1, 0, 1, 1, 0), 57.216622604097765), 4: ((0, 1, 1, 1, 1, 0), 242.78337739590222)}, 78045.40028089887, array([135.11235955,   0.        ,   0.        ]), 243.93785112359558)
14;[36 60 48];[ 5 20 10  5];({1: ((1, 1, 1, 1, 1, 1), 136.48675274404326), 3: ((0, 1, 1, 1, 1, 1), 163.51324725595674)}, 63296.46530574996, array([6.80600642, 0.        , 0.        ]), 210.17149691496715)
